,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
0,Bronwyn Bancroft,Female,"Bronwyn Bancroft (born 1958) is an Australian artist,[notes 1] notable for being amongst the first Australian fashion designers invited to show her work in Paris. Born in Tenterfield, New South Wales, and trained in Canberra and Sydney, Bancroft worked as a fashion designer, and is an artist, illustrator, and arts administrator.",Success,None,None
1,Felice Beato,Male,"Felice Beato (1832 – 29 January 1909), also known as Felix Beato,[note 1] was an Italian–British photographer. He was one of the first people to take photographs in East Asia and one of the first war photographers. He is noted for his genre works, portraits, and views and panoramas of the architecture and landscapes of Asia and the Mediterranean region. Beato's travels gave him the opportunity to create images of countries, people, and events that were unfamiliar and remote to most people in Europe and North America. His work provides images of such events as the Indian Rebellion of 1857 and the Second Opium War, and represents the first substantial body of photojournalism. He influenced other photographers, and his influence in Japan, where he taught and worked with numerous other photographers and artists, was particularly deep and lasting.",Success,1832,1909
2,Jean Bellette,Female,"Jean Bellette (occasionally Jean Haefliger; 25 March 1908 – 16 March 1991) was an Australian artist. Born in Tasmania, she was educated in Hobart and at Julian Ashton's art school in Sydney, where one of her teachers was Thea Proctor. In London she studied under painters Bernard Meninsky and Mark Gertler.",Success,None,None
3,Matthew Brettingham,Male,"  Kedleston Hall was Brettingham's opportunity to prove himself capable of designing a house to rival great houses like Holkham Hall and Chatsworth House. The chance was snatched from him by Robert Adam, who completed the North front (above) much as Brettingham designed it but with a more dramatic portico.",Success,None,None
4,William Bruce (architect),Male,"Sir William Bruce of Kinross, 1st Baronet (c. 1630 – 1 January 1710), was a Scottish gentleman-architect, ""the effective founder of classical architecture in Scotland,"" as Howard Colvin observes.[1] As a key figure in introducing the Palladian style into Scotland, he has been compared to the pioneering English architects Inigo Jones and Christopher Wren,[2] and to the contemporaneous introducers of French style in English domestic architecture, Hugh May and Sir Roger Pratt.[1]",Success,None,None
5,William Burges,Male,"This article is about the Victorian architect. For the politician, see William Burges (Australian politician). For other people, see William Burgess.",Success,1827,None
6,V. Gordon Childe,Male,"Vere Gordon Childe (14 April 1892 – 19 October 1957) was an Australian archaeologist who specialised in the study of European prehistory. He spent most of his life in the United Kingdom, working as an academic for the University of Edinburgh and then the Institute of Archaeology, London, and wrote twenty-six books during his career. Initially an early proponent of culture-historical archaeology, he later became the first exponent of Marxist archaeology in the Western world.",Success,1892,1957
7,O. G. S. Crawford,Male,"Osbert Guy Stanhope Crawford (28 October 1886 – 28 November 1957) was a British archaeologist who specialised in the study of prehistoric Britain and the archaeology of Sudan. For most of his career the archaeological officer of the Ordnance Survey (OS), he wrote a range of books on archaeological subjects and was a keen proponent of aerial archaeology.",Success,1886,None
8,Homer Davenport,Male,"Homer Calvin Davenport (March 8, 1867 – May 2, 1912) was a political cartoonist and writer from the U.S. He is known for drawings that satirized figures of the Gilded Age and Progressive Era, most notably Ohio Senator Mark Hanna. Although Davenport had no formal art training, he became one of the highest paid political cartoonists in the world. Davenport also was one of the first major American breeders of Arabian horses and one of the founders of the Arabian Horse Club of America.",Success,1867,1912
9,John Doubleday (restorer),Male,"John Doubleday (about 1798[note 1] – 25 January 1856) was a British craftsperson, restorer, and dealer in antiquities who was employed by the British Museum for the last 20 years of his life. He undertook several duties for the museum, not least as a witness in criminal trials, but was primarily their specialist restorer, perhaps the first person to hold the position. He is best known for his 1845 restoration of the severely-damaged Roman Portland Vase, an accomplishment that places him at the forefront of his profession at the time.",Success,None,None
10,William Etty,Male,"William Etty RA (10 March 1787 – 13 November 1849) was an English artist best known for his history paintings containing nude figures. He was the first significant British painter of nudes and still lifes. Born in York, he left school at the age of 12 to become an apprentice printer in Hull. He completed his apprenticeship seven years later and moved to London, where in 1807 he joined the Royal Academy Schools. There he studied under Thomas Lawrence and trained by copying works by other artists. Etty earned respect at the Royal Academy of Arts for his ability to paint realistic flesh tones, but had little commercial or critical success in his first few years in London.",Success,1787,1849
11,Lisa del Giocondo,Female,"Lisa del Giocondo (Italian pronunciation: [ˈliːza del dʒoˈkondo]; née Gherardini [ɡerarˈdiːni];  June 15, 1479 – July 15, 1542) was an Italian noblewoman and member of the Gherardini family of Florence and Tuscany. Her name was given to the Mona Lisa, her portrait commissioned by her husband and painted by Leonardo da Vinci during the Italian Renaissance.",Success,1479,1542
12,John Douglas (architect),Male,"John Douglas (11 April 1830 – 23 May 1911) was an English architect who designed over 500 buildings in Cheshire, North Wales, and northwest England, in particular in the estate of Eaton Hall. He was trained in Lancaster and practised throughout his career from an office in Chester. Initially he ran the practice on his own, but from 1884 until two years before his death he worked in partnerships with two of his former assistants.",Success,1830,1911
13,El Greco,Male,"Doménikos Theotokópoulos (Greek: Δομήνικος Θεοτοκόπουλος [ðoˈminikos θeotoˈkopulos]; 1 October 1541 –  7 April 1614),[2] most widely known as El Greco (""The Greek""), was a Greek painter, sculptor and architect of the Spanish Renaissance. ""El Greco"" was a nickname,[a][b] a reference to his Greek origin, and the artist normally signed his paintings with his full birth name in Greek letters, Δομήνικος Θεοτοκόπουλος, Doménikos Theotokópoulos, often adding the word Κρής Krēs, Cretan.",Success,1541,1614
14,El Lissitzky,Male,"Lazar Markovich Lissitzky (Russian: Ла́зарь Ма́ркович Лиси́цкий, listen (help·info); November 23 [O.S. November 11] 1890 – December 30, 1941), known as El Lissitzky (Russian: Эль Лиси́цкий, Yiddish: על ליסיצקי‎), was a Russian artist, designer, photographer, typographer, polemicist and architect. He was an important figure of the Russian avant-garde, helping develop suprematism with his mentor, Kazimir Malevich, and designing numerous exhibition displays and propaganda works for the Soviet Union. His work greatly influenced the Bauhaus and constructivist movements, and he experimented with production techniques and stylistic devices that would go on to dominate 20th-century graphic design.[1]",Success,None,None
